function_path,type,type_name
probe:curve25519-dalek/4.1.3/constants_lemmas/edwards_lemmas/lemmas/lemma_edwards_d2_limbs_bounded_54(),3,lemma
probe:curve25519-dalek/4.1.3/constants_lemmas/edwards_lemmas/lemmas/lemma_edwards_d_limbs_bounded(),3,lemma
probe:curve25519-dalek/4.1.3/constants_lemmas/edwards_lemmas/lemmas/lemma_edwards_d_limbs_bounded_54(),3,lemma
probe:curve25519-dalek/4.1.3/constants_lemmas/edwards_lemmas/lemmas/lemma_scalar_as_nat_basepoint_order_private_equals_group_order(),3,lemma
probe:curve25519-dalek/4.1.3/constants_lemmas/field_lemmas/lemmas/lemma_bridge_local_pow2(),3,lemma
probe:curve25519-dalek/4.1.3/constants_lemmas/field_lemmas/lemmas/lemma_d_minus_one_squared_limbs_bounded(),3,lemma
probe:curve25519-dalek/4.1.3/constants_lemmas/field_lemmas/lemmas/lemma_d_minus_one_squared_value(),3,lemma
probe:curve25519-dalek/4.1.3/constants_lemmas/field_lemmas/lemmas/lemma_d_plus_one_nonzero(),3,lemma
probe:curve25519-dalek/4.1.3/constants_lemmas/field_lemmas/lemmas/lemma_elligator_constants_bounded(),3,lemma
probe:curve25519-dalek/4.1.3/constants_lemmas/field_lemmas/lemmas/lemma_invsqrt_a_minus_d_limbs_bounded(),3,lemma
probe:curve25519-dalek/4.1.3/constants_lemmas/field_lemmas/lemmas/lemma_minus_one_field_element_value(),3,lemma
probe:curve25519-dalek/4.1.3/constants_lemmas/field_lemmas/lemmas/lemma_minus_one_limbs_bounded_51(),3,lemma
probe:curve25519-dalek/4.1.3/constants_lemmas/field_lemmas/lemmas/lemma_montgomery_a_limbs_bounded_51(),3,lemma
probe:curve25519-dalek/4.1.3/constants_lemmas/field_lemmas/lemmas/lemma_montgomery_a_neg_limbs_bounded_51(),3,lemma
probe:curve25519-dalek/4.1.3/constants_lemmas/field_lemmas/lemmas/lemma_one_field_element_value(),3,lemma
probe:curve25519-dalek/4.1.3/constants_lemmas/field_lemmas/lemmas/lemma_one_limbs_bounded_51(),3,lemma
probe:curve25519-dalek/4.1.3/constants_lemmas/field_lemmas/lemmas/lemma_one_minus_d_squared_limbs_bounded(),3,lemma
probe:curve25519-dalek/4.1.3/constants_lemmas/field_lemmas/lemmas/lemma_one_minus_d_squared_value(),3,lemma
probe:curve25519-dalek/4.1.3/constants_lemmas/field_lemmas/lemmas/lemma_sqrt_ad_minus_one_limbs_bounded(),3,lemma
probe:curve25519-dalek/4.1.3/constants_lemmas/field_lemmas/lemmas/lemma_sqrt_ad_minus_one_nonzero(),3,lemma
probe:curve25519-dalek/4.1.3/constants_lemmas/field_lemmas/lemmas/lemma_zero_field_element_value(),3,lemma
probe:curve25519-dalek/4.1.3/constants_lemmas/field_lemmas/lemmas/lemma_zero_limbs_bounded_51(),3,lemma
probe:curve25519-dalek/4.1.3/core_assumes/bytes32_8_to_24(),5,external_assume
probe:curve25519-dalek/4.1.3/core_assumes/compressed_edwards_y_from_array_result(),5,external_assume
probe:curve25519-dalek/4.1.3/core_assumes/compressed_ristretto_from_array_result(),5,external_assume
probe:curve25519-dalek/4.1.3/core_assumes/first_32_bytes(),5,external_assume
probe:curve25519-dalek/4.1.3/core_assumes/last_32_bytes(),5,external_assume
probe:curve25519-dalek/4.1.3/core_assumes/try_into_32_bytes_array(),5,external_assume
probe:curve25519-dalek/4.1.3/core_assumes/u128_from_le_bytes(),5,external_assume
probe:curve25519-dalek/4.1.3/core_assumes/u128_to_le_bytes(),5,external_assume
probe:curve25519-dalek/4.1.3/core_assumes/u16_from_le_bytes(),5,external_assume
probe:curve25519-dalek/4.1.3/core_assumes/u16_to_le_bytes(),5,external_assume
